Question	Category	Field
Why do we breathe oxygen only, why not other gases?	Curiosity	Biology
Why do we sleep only on night?	Curiosity	Biology
Why is sugar sweet, why not spicy?	Curiosity	Chemistry
In our body parts while we grow all the body parts grow. But why does the eye not change?	Curiosity	Biology
Is hair important to human beings? How will hair grow?	Curiosity	Biology
Why can't neurons grow like skin does?	Curiosity	Biology
Why do women reproduce?	Curiosity	Biology
Why does the menstruation cycle stop when we are at the age of 50 years?	Curiosity	Biology
Why after 45-50 years does the menstrual cycle stop? Why do boys produce sperms from birth to death?	Curiosity	Biology
In every person there is DNA and RNA. But why is it not the same for all, even their fingerprints also?	Curiosity	Biology
How can we generate our forefathers' DNA again in our generation?	Curiosity	Biology
I want to give birth to a baby in my future, just like my mother in all things. Is it possible?	Curiosity	Biology
Why are girls shorter than boys?	Curiosity	Biology
Why can't we jump like a kangaroo?	Curiosity	Biology
Why do lice live only in the head, why not in other body parts which have hair?	Curiosity	Biology
Why are twins born?	Curiosity	Biology
Why does our brain work 30 minutes after we die?	Curiosity	Biology
If a person damages their brain -- not brain dead, but like blood clotting in the brain -- what happens to that person?	Curiosity	Biology
I want an answer from the scientific view -- How was the first man and woman born?	Curiosity	Biology
How was human born?	Curiosity	Biology
Is there a possibility of re-emergence of dinosaurs?	Curiosity	Biology
Why can’t we digest plastic?	Curiosity	Biology
Why do we cry?	Comprehension	Biology
Why do ants like only sugar?	Curiosity	Biology
Why do only honey bees keep honey. Why not an ant?	Curiosity	Biology
Why do we have body aches during menstruation?	Comprehension	Biology
Why people suffer from body pains?	Comprehension	Biology
Why do we drink water?	Comprehension	Biology
Why can’t we live like a frog?	Curiosity	Zoology
In teenage, some people get white hair, why?	Curiosity	Biology
Why our blood is red?	Curiosity	Biology
Why do humans talk but not animals?	Curiosity	Biology
How many hearts are there in earthworm?	Comprehension	Zoology
Do insects have brain and heart?	Comprehension	Zoology
Why animals don’t have brain?	Curiosity	Zoology
Which color is octopus blood?	Comprehension	Zoology
Why should we eat everyday?	Curiosity	Biology
Why only birds can fly?	Curiosity	Zoology
How the birds fly?	Comprehension	Zoology
What is the heartbeat of hummingbird?	Comprehension	Zoology
What is the height and weight of ostrich?	Comprehension	Zoology
How does crocodile breath in and out of water?	Comprehension	Zoology
How much memory can our brain store?	Comprehension	Biology
When we die where will we go?	Curiosity	Biology
Where do the dead bodies go?	Curiosity	Biology
Are ghosts present in our daily life?	Curiosity	Biology
After the death of a human being does really the soul come, or not?	Curiosity	Biology
Why do we get dreams while sleeping?	Curiosity	Biology
